Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Navn,Adresse,Brutto kvm.,Værelser,Faciliteter,Plantegning PDF,Plantegning Billede,Etage,Ejendom,Ejendomskode,Bygnings ID,Lejlighedsnummer,Lejligheds ID
1/1,1-1,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,686542a987845492c09d3e9f,FALSE,TRUE,Wed Jul 02 2025 14:31:05 GMT+0000 (Coordinated Universal Time),Thu Aug 28 2025 13:30:50 GMT+0000 (Coordinated Universal Time),,"<p id="""">1/1</p>","<p id="""">Vesterbrogade 106, 1610 København V, 4. sal – Lejlighed 7</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri </p><p id="""">· Privat depotrum i kælderen </p><p id="""">· Altan (til de boliger med altan) </p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen </p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/68667e0d25c8deee60edd2d1_Lejlighed%201_1.svg,https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/68667e0d25c8deee60edd2d1_Lejlighed%201_1.svg,etage-1,strandlodsvej,,,,
2/1,2-1,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,6865490f8d74434b16e42e4e,FALSE,TRUE,Wed Jul 02 2025 14:58:23 GMT+0000 (Coordinated Universal Time),Thu Aug 28 2025 13:30:50 GMT+0000 (Coordinated Universal Time),,"<p id="""">2/7</p>","<p>Vesterbrogade 106, 1610 København V, 4. sal – Lejlighed 7</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri </p><p id="""">· Privat depotrum i kælderen </p><p id="""">· Altan (til de boliger med altan) </p><p id="""">· Elevator· Internet inkluderet i huslejen </p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/6865479b7ecba2a83465ee70_planteg.svg,https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/6865492594574ee2076fb701_plant2.svg,etage-1,strandlodsvej,,,,
3/1,3-1,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,686549406db3fc9e575b1117,FALSE,TRUE,Wed Jul 02 2025 14:59:12 GMT+0000 (Coordinated Universal Time),Thu Aug 28 2025 13:30:50 GMT+0000 (Coordinated Universal Time),,"<p id="""">3/1</p>","<p>Vesterbrogade 106, 1610 København V, 4. sal – Lejlighed 7</p>",<p>37 kvm.</p>,"<p id="""">1</p>","<p id="""">· Adgang til fællesvaskeri </p><p id="""">· Privat depotrum i kælderen </p><p id="""">· Altan (til de boliger med altan) </p><p id="""">· Elevator· Internet inkluderet i huslejen </p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/6865492594574ee2076fb701_plant2.svg,https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/68654955657bd85ef9b8c92c_plant4.svg,etage-1,strandlodsvej,,,,
4/1,4-1,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,6866401c9b88798f9d23db40,FALSE,TRUE,Thu Jul 03 2025 08:32:28 GMT+0000 (Coordinated Universal Time),Thu Aug 28 2025 13:30:50 GMT+0000 (Coordinated Universal Time),,"<p id="""">4/1</p>","<p>Vesterbrogade 106, 1610 København V, 4. sal – Lejlighed 7</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri </p><p id="""">· Privat depotrum i kælderen </p><p id="""">· Altan (til de boliger med altan) </p><p id="""">· Elevator· Internet inkluderet i huslejen </p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/68654955657bd85ef9b8c92c_plant4.svg,https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/6865479b7ecba2a83465ee70_planteg.svg,etage-1,strandlodsvej,,,,
5/1,5-1,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,6866406a5ca4f5fa24193ead,FALSE,TRUE,Thu Jul 03 2025 08:33:46 GMT+0000 (Coordinated Universal Time),Thu Aug 28 2025 13:30:50 GMT+0000 (Coordinated Universal Time),,"<p id="""">5/1</p><p>‍</p>","<p>Vesterbrogade 106, 1610 København V, 4. sal – Lejlighed 7</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri </p><p id="""">· Privat depotrum i kælderen </p><p id="""">· Altan (til de boliger med altan) </p><p id="""">· Elevator· Internet inkluderet i huslejen </p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/6865492594574ee2076fb701_plant2.svg,https://cdn.prod.website-files.com/6863e02bd692adbeb97dc885/6865492594574ee2076fb701_plant2.svg,etage-1,strandlodsvej,,,,
"Dortheavej, 1. sal, lejlighed 01",dortheavej-1-sal-lejlighed-01,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4248c726eae0a2c22d3,FALSE,FALSE,Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 01</p>","<p>Dortheavej 3, 1. sal – Lejlighed 01</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,1,DOR-1-01
"Dortheavej, 1. sal, lejlighed 02",dortheavej-1-sal-lejlighed-02,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4248c726eae0a2c22da,FALSE,FALSE,Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 02</p>","<p>Dortheavej 3, 1. sal – Lejlighed 02</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,2,DOR-1-02
"Dortheavej, 1. sal, lejlighed 03",dortheavej-1-sal-lejlighed-03,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4248c726eae0a2c22e1,FALSE,FALSE,Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 03</p>","<p>Dortheavej 3, 1. sal – Lejlighed 03</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,3,DOR-1-03
"Dortheavej, 1. sal, lejlighed 04",dortheavej-1-sal-lejlighed-04,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4248c726eae0a2c22e8,FALSE,FALSE,Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:07:32 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 04</p>","<p>Dortheavej 3, 1. sal – Lejlighed 04</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,4,DOR-1-04
"Dortheavej, 1. sal, lejlighed 05",dortheavej-1-sal-lejlighed-05,6865427ac2cbb7812a2dc5d4,6863e02bd692adbeb97dc884,68b1b4468c726eae0a2c37c4,FALSE,FALSE,Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),Fri Aug 29 2025 14:08:06 GMT+0000 (Coordinated Universal Time),"<p id="""">Dortheavej, 1. sal, lejlighed 05</p>","<p>Dortheavej 3, 1. sal – Lejlighed 05</p>",<p>37 kvm.</p>,<p>1</p>,"<p id="""">· Adgang til fællesvaskeri</p><p id="""">· Privat depotrum i kælderen</p><p id="""">· Altan (til de boliger med altan)</p><p id="""">· Elevator</p><p id="""">· Internet inkluderet i huslejen</p><p id="""">· HTH-køkken med emhætte, kogeplader og køle/frys</p><p id="""">· Badeværelse med separat bruseniche og gulvvarme</p><p id="""">· 2 Indbyggede garderobeskabe</p>",,,etage-1,dortheavej,DOR,,5,DOR-1-05
